L1,L2L3,L4,Adult,value,model_select,model_flag,cluster_flag
0,0,0,0,0000,NA                                                                                                                                                                                                                                                                                  ,NA,NA
1,0,0,0,1000,L1,NA,F
2,0,0,0,2000,L1,L1_cluster,T
0,1,0,0,0100,L2L3,NA,F
1,1,0,0,1100,L2L3,NA,F
2,1,0,0,2100,L2L3,L1_cluster,F
0,2,0,0,0200,L2L3,L2L3_cluster,T
1,2,0,0,1200,L2L3,L2L3_cluster,T
2,2,0,0,2200,L2L3,L2L3_cluster,T
0,0,1,0,0010,L4,NA,F
1,0,1,0,1010,L4,NA,F
2,0,1,0,2010,L4,L1_cluster,F
0,1,1,0,0110,L4,NA,F
1,1,1,0,1110,L4,NA,F
2,1,1,0,2110,L4,L1_cluster,F
0,2,1,0,0210,L4,L2L3_cluster,F
1,2,1,0,1210,L4,L2L3_cluster,F
2,2,1,0,2210,L4,L2L3_cluster,F
0,0,2,0,0020,L4,L4_cluster,T
1,0,2,0,1020,L4,L4_cluster,T
2,0,2,0,2020,L4,L4_cluster,T
0,1,2,0,0120,L4,L4_cluster,T
1,1,2,0,1120,L4,L4_cluster,T
2,1,2,0,2120,L4,L4_cluster,T
0,2,2,0,0220,L4,L4_cluster,T
1,2,2,0,1220,L4,L4_cluster,T
2,2,2,0,2220,L4,L4_cluster,T
0,0,0,1,0001,Adult,NA,F
1,0,0,1,1001,Adult,NA,F
2,0,0,1,2001,Adult,L1_cluster,F
0,1,0,1,0101,Adult,NA,F
1,1,0,1,1101,Adult,NA,F
2,1,0,1,2101,Adult,L1_cluster,F
0,2,0,1,0201,Adult,L2L3_cluster,F
1,2,0,1,1201,Adult,L2L3_cluster,F
2,2,0,1,2201,Adult,L2L3_cluster,F
0,0,1,1,0011,Adult,NA,F
1,0,1,1,1011,Adult,NA,F
2,0,1,1,2011,Adult,L1_cluster,F
0,1,1,1,0111,Adult,NA,F
1,1,1,1,1111,Adult,NA,F
2,1,1,1,2111,Adult,L1_cluster,F
0,2,1,1,0211,Adult,L2L3_cluster,F
1,2,1,1,1211,Adult,L2L3_cluster,F
2,2,1,1,2211,Adult,L2L3_cluster,F
0,0,2,1,0021,Adult,L4_cluster,F
1,0,2,1,1021,Adult,L4_cluster,F
2,0,2,1,2021,Adult,L4_cluster,F
0,1,2,1,0121,Adult,L4_cluster,F
1,1,2,1,1121,Adult,L4_cluster,F
2,1,2,1,2121,Adult,L4_cluster,F
0,2,2,1,0221,Adult,L4_cluster,F
1,2,2,1,1221,Adult,L4_cluster,F
2,2,2,1,2221,Adult,L4_cluster,F
0,0,0,2,0002,Adult,Adult_cluster,T
1,0,0,2,1002,Adult,Adult_cluster,T
2,0,0,2,2002,Adult,Adult_cluster,T
0,1,0,2,0102,Adult,Adult_cluster,T
1,1,0,2,1102,Adult,Adult_cluster,T
2,1,0,2,2102,Adult,Adult_cluster,T
0,2,0,2,0202,Adult,Adult_cluster,T
1,2,0,2,1202,Adult,Adult_cluster,T
2,2,0,2,2202,Adult,Adult_cluster,T
0,0,1,2,0012,Adult,Adult_cluster,T
1,0,1,2,1012,Adult,Adult_cluster,T
2,0,1,2,2012,Adult,Adult_cluster,T
0,1,1,2,0112,Adult,Adult_cluster,T
1,1,1,2,1112,Adult,Adult_cluster,T
2,1,1,2,2112,Adult,Adult_cluster,T
0,2,1,2,0212,Adult,Adult_cluster,T
1,2,1,2,1212,Adult,Adult_cluster,T
2,2,1,2,2212,Adult,Adult_cluster,T
0,0,2,2,0022,Adult,Adult_cluster,T
1,0,2,2,1022,Adult,Adult_cluster,T
2,0,2,2,2022,Adult,Adult_cluster,T
0,1,2,2,0122,Adult,Adult_cluster,T
1,1,2,2,1122,Adult,Adult_cluster,T
2,1,2,2,2122,Adult,Adult_cluster,T
0,2,2,2,0222,Adult,Adult_cluster,T
1,2,2,2,1222,Adult,Adult_cluster,T
2,2,2,2,2222,Adult,Adult_cluster,T
